 X = 518		Y = 340		
 X = 374		Y = 300		
 X = 291		Y = 302		
 X = 192		Y = 307		
 X = 123		Y = 336		
 X = 58			Y = 371		
 X = 544		Y = 332		
 X = 464		Y = 310		
 X = 358		Y = 301		
 X = 269		Y = 316		
 X = 210		Y = 338		
 X = 147		Y = 385		
 X = 71			Y = 453		
 X = 614		Y = 368		
 X = 499		Y = 330		
 X = 393		Y = 299		
 X = 317		Y = 300		
 X = 221		Y = 309		
 X = 159		Y = 328		
 X = 79			Y = 371		
 X = 16			Y = 422		
 X = 424		Y = 319		
 X = 329		Y = 305		
 X = 218		Y = 305		
 X = 123		Y = 327		
 X = 54			Y = 359		
 X = 481		Y = 314		
 X = 360		Y = 280		
 X = 232		Y = 261		
 X = 147		Y = 258		
 X = 72			Y = 269		
 X = 386		Y = 259		
 X = 69			Y = 344		
 X = 420		Y = 322		
 X = 269		Y = 290		
 X = 141		Y = 275		
 X = 50			Y = 280		
 X = 505		Y = 334		
 X = 353		Y = 299		
 X = 234		Y = 291		
 X = 122		Y = 307		
 X = 49			Y = 332		
 X = 527		Y = 339		
 X = 406		Y = 299		
 X = 262		Y = 286		
 X = 185		Y = 287		
 X = 73			Y = 313
